,N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3 ,,,,,,,,,
,0.0001,0.0001,0.0001,0.0001,10.89307011,0.02,0.0001,0.001,0.0001,STOP,STOP,STOP,,,,,,,,,
,0.0001,0.0001,0.820422785,10.89297011,10.89307011,0.2,0.0001,0.0001,9.18015E-06,RAISE,RAISE,RAISE,,,,,,,,,
,0.0201,0.0011,1.663154956,10.07264733,10.89307011,0.015063344,0.4001,0.3001,0.075316029,RAISE,RAISE,RAISE,,,,,,,,,
,0.0401,0.0021,2.628537102,9.229915159,10.89307011,0.033023194,0.8001,0.6001,0.152680093,RAISE,LOWER,RAISE,,,,,,,,,
,0.0391,0.0031,3.440977702,8.264533013,10.89307011,0.056956907,1.2001,0.9001,0.241303606,RAISE,LOWER,RAISE,,,,,,,,,
,0.0381,0.0041,4.130709822,7.452092413,10.89307011,0.083270953,1.6001,1.2001,0.315886859,RAISE,LOWER,RAISE,"N ARE INPUT CONTROL PARAMETERS, A FEW DEPEND DIRECTLY ON CONTROL OUTPUT, REMAINING HAVE INTERDEPENDENCY AND SETPOINTS E.G.I COLUMN. ASSUMED THAT PROCESS WANTS I=1 IDEALLY",,,,,,,,
,0.0371,0.0051,4.511136157,6.762360293,10.89307011,0.110860403,2.0001,1.5001,0.379205291,RAISE,LOWER,RAISE,"M ARE OUTPUT CONTROL PARAMETERS(LABLE= STOP,HOLD,LOWER,RAISE)",,,,,,,,
,0.0361,0.0061,5.176845977,6.381933958,10.89307011,0.133418983,2.4001,1.8001,0.414128993,RAISE,LOWER,RAISE,"THE RELATIONS AMONG CONTROL PARAMETERS ARE SET AT ROW 3, AT ROW 2 IS INITIALIZATIONS",,,,,,,,
,0.0351,0.0071,5.403099109,5.716224138,10.89307011,0.162234395,2.8001,2.1001,0.475242142,RAISE,LOWER,RAISE,,,,,,,,,
,0.0341,0.0081,6.218648679,5.489971005,10.89307011,0.18904434,3.2001,2.4001,0.496012516,RAISE,LOWER,RAISE,"THE CONTROL OUTPUT ACTION DECISIONS ARE SET AT ROW 3 OF M1,M2,M3",,,,,,,,
,0.0331,0.0091,7.210321029,4.674421436,10.89307011,0.226545775,3.6001,2.7001,0.570881176,RAISE,LOWER,RAISE,,,,,,,,,
,0.0321,0.0101,7.738925706,3.682749086,10.89307011,0.308501111,4.0001,3.0001,0.661918169,RAISE,LOWER,RAISE,"PARTICIPANTS FOR EXAMPLE MAY USE 80% ENTRIES FOR TRAINING AND THEN FEED IN REMAINING 20% WITHOUT THE M VALUES, THE MACHINE LEARNING CODE SHOULD PREDICT M VALUES USING THE DECISION TREE IT FORMED USING THE TRAINING DATASET FOR EACH CONTROL OUTPUT, IN SHORT THE CODE LEARNS AT WHICH POINT OPERATOR WILL DO WHAT ACTION",,,,,,,,
,0.0311,0.0111,7.744427903,3.154144408,10.89307011,0.420279825,4.4001,3.3001,0.710444863,RAISE,LOWER,RAISE,THE SCOPE OF PREDICTED CONTROL OUTPUT FOR THE 20% DATASET VALUES CAN BE TABULATED AND COMPARED WITH THE ACTUAL DATASET VALUES,,,,,,,,
,0.0301,0.0121,8.315868534,3.148642211,10.89307011,0.491063623,4.8001,3.6001,0.710949973,RAISE,LOWER,RAISE,,,,,,,,,
,0.0291,0.0131,9.306905993,2.57720158,10.89307011,0.528219339,5.2001,3.9001,0.763409071,RAISE,LOWER,RAISE,,,,,,,,,
,0.0281,0.0141,9.510082798,1.586164122,10.89307011,0.722248975,5.6001,4.2001,0.85438778,RAISE,LOWER,RAISE,,,,,,,,,
,0.0271,0.0151,10.22941162,1.382987317,10.89307011,1.199129733,6.0001,4.5001,0.873039712,RAISE,LOWER,RAISE,,,,,,,,,
,0.0261,0.0161,2.435442035,0.663658496,10.89307011,1.479321103,6.4001,4.8001,0.939075165,RAISE,LOWER,RAISE,,,,,,,,,
,0.0251,0.0171,3.163186025,8.45762808,10.89307011,0.733944356,6.8001,5.1001,0.223577193,RAISE,LOWER,RAISE,,,,,,,,,
,0.0241,0.0181,3.925573889,7.729884089,10.89307011,0.074800783,7.2001,5.4001,0.290385171,RAISE,HOLD,RAISE,,,,,,,,,
,0.0241,0.0191,4.553388719,6.967496226,10.89307011,0.101568765,7.6001,5.7001,0.360373508,RAISE,HOLD,RAISE,N1,N2,N3,N4,N5,N6,M1,M2,M3
,0.0241,0.0201,4.860600463,6.339681396,10.89307011,0.13070373,8.0001,6.0001,0.418007841,RAISE,RAISE,RAISE,0.114270457,0.108769746,0.110964836,0.110005317,0.121201245,0.123828175,0.124214383,0.108094914,0.109287575
,0.0441,0.0211,5.025618012,6.032469652,10.89307011,0.153338951,8.4001,6.3001,0.446210335,RAISE,RAISE,RAISE,0.117587373,0.107560651,0.12321281,0.128942305,0.125288103,0.105983981,0.11244174,0.10615141,0.127593491
,0.0641,0.0221,5.725466256,5.867452103,10.89307011,0.166618924,8.8001,6.6001,0.461359191,RAISE,LOWER,RAISE,0.10954437,0.124989078,0.114283439,0.1108549,0.115552708,0.112249129,0.114049919,0.121122633,0.109730209
,0.0631,0.0231,6.539794425,5.167603859,10.89307011,0.195160221,9.2001,6.9001,0.525606298,RAISE,LOWER,RAISE,0.117589744,0.111520386,0.122122841,0.126317834,0.129340546,0.106138263,0.121881752,0.115788139,0.129827836
,0.0621,0.0241,7.262184558,4.35327569,10.89307011,0.253107421,9.6001,7.2001,0.600362832,RAISE,LOWER,RAISE,,,,,,,,,
,0.0611,0.0251,7.387766267,3.630885556,10.89307011,0.3336423,10.0001,7.5001,0.666679318,RAISE,LOWER,RAISE,,ABOVE IS RANDOM  SET FOR TESTING OFF NORMAL CONDITIONS,,,,,,,
,0.0601,0.0261,7.944909163,3.505303848,10.89307011,0.406940189,10.4001,7.8001,0.678207905,RAISE,LOWER,RAISE,,EQUATIONS ARE SET IN FIRST ROW. EXTEND DATASET BY SELECT AND DRAG RIGHT BOTTOM,,,,,,,
,0.0591,0.0271,8.03508326,2.948160952,10.89307011,0.453307873,10.8001,8.1001,0.72935445,RAISE,LOWER,RAISE,,,,,,,,,
,0.0581,0.0281,8.961015952,2.857986855,10.89307011,0.545091221,11.2001,8.4001,0.737632566,RAISE,LOWER,RAISE,,,,,,,,,
,0.0571,0.0291,9.855948813,1.932054163,10.89307011,0.627085876,11.6001,8.7001,0.822634561,RAISE,LOWER,RAISE,,,,,,,,,
,0.0561,0.0301,10.54860348,1.037121302,10.89307011,1.020255954,12.0001,9.0001,0.904790726,RAISE,LOWER,RAISE,,,,,,,,,
,0.0551,0.0311,7.599719889,0.344466634,10.89307011,2.034208238,12.4001,9.3001,0.968377452,RAISE,LOWER,RAISE,,,,,,,,,
,0.0541,0.0321,7.964396795,3.293350225,10.89307011,4.41245633,12.8001,9.6001,0.697665563,RAISE,LOWER,RAISE,,,,,,,,,
,0.0531,0.0331,8.740190999,2.92867332,10.89307011,0.483665341,13.2001,9.9001,0.731143444,RAISE,LOWER,RAISE,,,,,,,,,
,0.0521,0.0341,9.414303449,2.152879116,10.89307011,0.596870326,13.6001,10.2001,0.802362503,RAISE,LOWER,RAISE,,,,,,,,,
,0.0511,0.0351,9.41880209,1.478766666,10.89307011,0.87457799,14.0001,10.5001,0.864247026,RAISE,LOWER,RAISE,,,,,,,,,
,0.0501,0.0361,9.550003679,1.474268025,10.89307011,1.273872655,14.4001,10.8001,0.864660008,RAISE,HOLD,RAISE,,,,,,,,,
,0.0501,0.0371,9.619129661,1.343066436,10.89307011,1.29555868,14.8001,11.1001,0.876704508,RAISE,HOLD,RAISE,,,,,,,,,
,0.0501,0.0381,10.14420676,1.273940454,10.89307011,1.432413082,15.2001,11.4001,0.883050376,RAISE,HOLD,RAISE,,,,,,,,,
,0.0501,0.0391,10.24163174,0.748863359,10.89307011,1.592571572,15.6001,11.7001,0.931253232,RAISE,HOLD,RAISE,,,,,,,,,
,0.0501,0.0401,8.83901665,0.651438375,10.89307011,2.735247121,16.0001,12.0001,0.940196991,RAISE,RAISE,RAISE,,,,,,,,,
,0.0701,0.0411,9.663920556,2.054053465,10.89307011,2.713692342,16.4001,12.3001,0.811434844,RAISE,RAISE,RAISE,,,,,,,,,
,0.0901,0.0421,10.1531855,1.229149559,10.89307011,0.940960956,16.8001,12.6001,0.887162247,RAISE,LOWER,RAISE,,,,,,,,,
,0.0891,0.0431,1.560912221,0.739884613,10.89307011,1.652066737,17.2001,12.9001,0.932077495,RAISE,LOWER,RAISE,,,,,,,,,
,0.0881,0.0441,2.117953793,9.332157894,10.89307011,0.421933959,17.6001,13.2001,0.143294058,RAISE,LOWER,RAISE,,,,,,,,,
,0.0871,0.0451,2.35216577,8.775116322,10.89307011,0.045390441,18.0001,13.5001,0.194431301,RAISE,LOWER,RAISE,,,,,,,,,
,0.0861,0.0461,3.015970439,8.540904345,10.89307011,0.053609905,18.4001,13.8001,0.215932308,RAISE,LOWER,RAISE,,,,,,,,,
,0.0851,0.0471,3.500328396,7.877099676,10.89307011,0.070624147,18.8001,14.1001,0.276870562,RAISE,LOWER,RAISE,,,,,,,,,
,0.0841,0.0481,4.443483224,7.392741719,10.89307011,0.088873533,19.2001,14.4001,0.321335341,RAISE,LOWER,RAISE,,,,,,,,,
,0.0831,0.0491,4.759857391,6.44958689,10.89307011,0.120212051,19.6001,14.7001,0.407918353,RAISE,LOWER,RAISE,,,,,,,,,
,0.0821,0.0501,5.329050097,6.133212724,10.89307011,0.147601931,20.0001,15.0001,0.436961971,RAISE,LOWER,RAISE,,,,,,,,,
,0.0811,0.0511,5.93512835,5.564020018,10.89307011,0.17377679,20.4001,15.3001,0.489214706,RAISE,LOWER,RAISE,,,,,,,,,
,0.0801,0.0521,6.388825645,4.957941765,10.89307011,0.213339576,20.8001,15.6001,0.544853589,RAISE,LOWER,RAISE,,,,,,,,,
,0.0791,0.0531,6.590183287,4.50424447,10.89307011,0.257720883,21.2001,15.9001,0.586503674,RAISE,LOWER,RAISE,,,,,,,,,
,0.0781,0.0541,7.511545937,4.302886827,10.89307011,0.29262103,21.6001,16.2001,0.604988604,RAISE,HOLD,RAISE,,,,,,,,,
,0.0781,0.0551,8.175255007,3.381524177,10.89307011,0.349139833,22.0001,16.5001,0.689571063,RAISE,HOLD,RAISE,,,,,,,,,
,0.0781,0.0561,8.250006059,2.717815108,10.89307011,0.483524859,22.4001,16.8001,0.75050054,RAISE,HOLD,RAISE,,,,,,,,,
,0.0781,0.0571,9.011918732,2.643064056,10.89307011,0.607105762,22.8001,17.1001,0.757362798,RAISE,HOLD,RAISE,,,,,,,,,
