"",N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3
1,0.0001,0.0001,0.0001,0.0001,10.01619353,0.02,0.0001,0.001,0.0001,STOP,STOP,STOP
2,0.0001,0.0001,0.100438291,10.01609353,10.01619353,0.2,0.0001,0.0001,9.98E-06,RAISE,RAISE,RAISE
3,0.0201,0.0011,0.771747261,9.915755235,10.01619353,0.002005538,0.4001,0.3001,0.010027591,RAISE,RAISE,RAISE
4,0.0401,0.0021,1.058466303,9.244446265,10.01619353,0.015566081,0.8001,0.6001,0.077049955,RAISE,LOWER,RAISE
5,0.0391,0.0031,1.541289051,8.957727222,10.01619353,0.022899507,1.2001,0.9001,0.105675504,RAISE,LOWER,RAISE
6,0.0381,0.0041,2.417454465,8.474904475,10.01619353,0.034412502,1.6001,1.2001,0.15387972,RAISE,LOWER,RAISE
7,0.0371,0.0051,2.790731651,7.598739061,10.01619353,0.057049716,2.0001,1.5001,0.241354608,RAISE,LOWER,RAISE
8,0.0361,0.0061,3.608869814,7.225461875,10.01619353,0.073452493,2.4001,1.8001,0.278621978,RAISE,LOWER,RAISE
9,0.0351,0.0071,4.325831618,6.407323711,10.01619353,0.099893125,2.8001,2.1001,0.360303523,RAISE,LOWER,RAISE
10,0.0341,0.0081,4.70437802,5.690361908,10.01619353,0.135027722,3.2001,2.4001,0.43188379,RAISE,LOWER,RAISE
11,0.0331,0.0091,5.642595967,5.311815505,10.01619353,0.165345477,3.6001,2.7001,0.469677229,RAISE,LOWER,RAISE
12,0.0321,0.0101,6.136865389,4.373597558,10.01619353,0.212454516,4.0001,3.0001,0.563347339,RAISE,LOWER,RAISE
13,0.0311,0.0111,6.760786366,3.879328136,10.01619353,0.280632377,4.4001,3.3001,0.612694371,RAISE,LOWER,RAISE
14,0.0301,0.0121,6.837481468,3.25540716,10.01619353,0.348554498,4.8001,3.6001,0.674985597,RAISE,LOWER,RAISE
15,0.0291,0.0131,7.45901525,3.178712057,10.01619353,0.420069204,5.2001,3.9001,0.682642708,RAISE,LOWER,RAISE
16,0.0281,0.0141,8.119674946,2.557178275,10.01619353,0.469310533,5.6001,4.2001,0.7446956,RAISE,LOWER,RAISE
17,0.0271,0.0151,9.119635659,1.89651858,10.01619353,0.63504958,6.0001,4.5001,0.810654759,RAISE,LOWER,RAISE
18,0.0261,0.0161,9.530533674,0.896557866,10.01619353,0.96172384,6.4001,4.8001,0.910489163,RAISE,LOWER,RAISE
19,0.0251,0.0171,5.833630276,0.485659851,10.01619353,2.126027563,6.8001,5.1001,0.951512533,RAISE,LOWER,RAISE
20,0.0241,0.0181,6.423934333,4.182563249,10.01619353,2.402352288,7.2001,5.4001,0.582419884,RAISE,HOLD,RAISE
21,0.0241,0.0191,7.350685582,3.592259192,10.01619353,0.307176913,7.6001,5.7001,0.641354854,RAISE,HOLD,RAISE
22,0.0241,0.0201,7.951592245,2.665507944,10.01619353,0.409251404,8.0001,6.0001,0.733880147,RAISE,RAISE,RAISE
23,0.0441,0.0211,8.616112398,2.06460128,10.01619353,0.596628666,8.4001,6.3001,0.793873663,RAISE,RAISE,RAISE
24,0.0641,0.0221,9.119560306,1.400081127,10.01619353,0.834651463,8.8001,6.6001,0.860218243,RAISE,LOWER,RAISE
25,0.0631,0.0231,9.361635174,0.89663322,10.01619353,1.302718839,9.2001,6.9001,0.91048164,RAISE,LOWER,RAISE
26,0.0621,0.0241,10.09954445,0.654558351,10.01619353,2.088174957,9.6001,7.2001,0.93464999,RAISE,LOWER,RAISE
27,0.0611,0.0251,1.235094789,-0.083350929,10.01619353,3.085911114,10.0001,7.5001,1.008321617,HOLD,LOWER,HOLD
28,0.0601,0.0251,1.87733109,8.781098736,10.01619353,-2.963601747,10.0001,7.5001,0.123309797,RAISE,LOWER,RAISE
29,0.0591,0.0261,1.921469117,8.138862435,10.01619353,0.042758455,10.4001,7.8001,0.187429594,RAISE,LOWER,RAISE
30,0.0581,0.0271,2.029482775,8.094724409,10.01619353,0.047217142,10.8001,8.1001,0.191836261,RAISE,LOWER,RAISE
31,0.0571,0.0281,2.243825884,7.98671075,10.01619353,0.050143345,11.2001,8.4001,0.202620164,RAISE,LOWER,RAISE
32,0.0561,0.0291,2.925271035,7.772367642,10.01619353,0.056188986,11.6001,8.7001,0.224019821,RAISE,LOWER,RAISE
33,0.0551,0.0301,3.820037577,7.09092249,10.01619353,0.075273615,12.0001,9.0001,0.292054165,RAISE,LOWER,RAISE
34,0.0541,0.0311,4.501313274,6.196155949,10.01619353,0.107744446,12.4001,9.3001,0.381386159,RAISE,LOWER,RAISE
35,0.0531,0.0321,4.731853879,5.514880252,10.01619353,0.145293737,12.8001,9.6001,0.449403585,RAISE,LOWER,RAISE
36,0.0521,0.0331,5.152140498,5.284339647,10.01619353,0.171603141,13.2001,9.9001,0.472420373,RAISE,LOWER,RAISE
37,0.0511,0.0341,5.905913775,4.864053027,10.01619353,0.194996569,13.6001,10.2001,0.514381085,RAISE,LOWER,RAISE
38,0.0501,0.0351,6.668626073,4.110279751,10.01619353,0.242839202,14.0001,10.5001,0.589636548,RAISE,HOLD,RAISE
39,0.0501,0.0361,7.161512766,3.347567452,10.01619353,0.324485265,14.4001,10.8001,0.665784468,RAISE,HOLD,RAISE
